LD,Velocity (km/s),a (degrees),$ (degrees),DI
4,1,-15,15,0.40649
4,1,-30,60,0.20336
4,1,-30,45,0.25636
4,1,-30,30,0.32212
4,1,-30,15,0.38059
4,1,-45,60,0.23152
4,1,-45,45,0.26765
4,1,-45,30,0.30764
4,1,-45,15,0.35881
4,1,-60,60,0.21738
4,1,-60,45,0.26298
4,1,-60,30,0.30995
4,1,-60,15,0.34555
4,1,-75,60,0.2223
4,1,-75,45,0.26473
4,1,-75,30,0.30932
4,1,-75,15,0.34954
4,1,-90,60,0.22296
4,1,-90,45,0.26757
4,1,-90,30,0.3206
4,1,-90,15,0.34558
4,1.25,90,60,0.2946
4,1.25,90,45,0.39495
4,1.25,90,30,0.43447
4,1.25,90,15,0.45945
4,1.25,75,60,0.34951
4,1.25,75,45,0.40858
4,1.25,75,30,0.44225
4,1.25,75,15,0.46395
4,1.25,60,60,0.36664
4,1.25,60,45,0.45249
4,1.25,60,30,0.47828
4,1.25,60,15,0.48146
4,1.25,45,60,0.38363
4,1.25,45,45,0.49544
4,1.25,45,30,0.5449
4,1.25,45,15,0.525
4,1.25,30,60,0.33207
4,1.25,30,45,0.47794
4,1.25,30,30,0.58341
4,1.25,30,15,0.62548
4,1.25,15,60,0.27554
4,1.25,15,45,0.43197
4,1.25,15,30,0.55351
4,1.25,15,15,0.62857
4,1.25,0,60,0.26889
4,1.25,0,45,0.40005
4,1.25,0,30,0.50655
4,1.25,0,15,0.6184
